Subgroup,N,Accuracy,Precision,Recall,F1,Prevalence,AUC,Brier,Model,Dataset,Demographic_Parity_Diff,Equalized_Odds_Diff
PIMA_Overall,154,0.6948051948051948,0.5573770491803278,0.6296296296296297,0.591304347826087,0.35064935064935066,0.7868518518518518,0.1923272668378863,LogReg,PIMA_Test,,
PIMA_Overall,154,0.7532467532467533,0.625,0.7407407407407407,0.6779661016949152,0.35064935064935066,0.8216666666666668,0.16917782941525508,RandomForest,PIMA_Test,,
PIMA_Overall,154,0.7467532467532467,0.6595744680851063,0.5740740740740741,0.6138613861386139,0.35064935064935066,0.8066666666666666,0.1697623262127049,NeuralNet,PIMA_Test,,
Mexican American | 18-39 | Female,209,0.8851674641148325,0.4,0.6666666666666666,0.5,0.0861244019138756,0.8999418266433973,0.10273949402078318,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Mexican American | 18-39 | Male,226,0.9203539823008849,0.25,0.625,0.35714285714285715,0.035398230088495575,0.8973623853211009,0.08648657646625255,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Mexican American | 40-59 | Female,195,0.7230769230769231,0.40789473684210525,0.775,0.5344827586206896,0.20512820512820512,0.8159677419354839,0.19183161260907275,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Mexican American | 40-59 | Male,155,0.7483870967741936,0.5084745762711864,0.75,0.6060606060606061,0.25806451612903225,0.8339130434782608,0.18988909478163363,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Mexican American | 60+ | Female,116,0.6120689655172413,0.5301204819277109,0.88,0.6616541353383458,0.43103448275862066,0.7836363636363637,0.22268236591458596,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Mexican American | 60+ | Male,135,0.6370370370370371,0.5913978494623656,0.8333333333333334,0.6918238993710691,0.4888888888888889,0.8112648221343873,0.1931237387658181,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Non-Hispanic Asian | 18-39 | Female,205,0.975609756097561,0.0,0.0,0.0,0.01951219512195122,0.6791044776119404,0.05368255760407012,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Non-Hispanic Asian | 18-39 | Male,176,0.9488636363636364,0.3333333333333333,0.2857142857142857,0.3076923076923077,0.03977272727272727,0.8647506339814032,0.07045856360173147,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Non-Hispanic Asian | 40-59 | Female,226,0.8628318584070797,0.6206896551724138,0.47368421052631576,0.5373134328358209,0.168141592920354,0.8352463605823068,0.12649428348779926,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Non-Hispanic Asian | 40-59 | Male,197,0.8426395939086294,0.696969696969697,0.5227272727272727,0.5974025974025974,0.2233502538071066,0.8398692810457518,0.1397863172572822,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Non-Hispanic Asian | 60+ | Female,144,0.6944444444444444,0.5614035087719298,0.6274509803921569,0.5925925925925926,0.3541666666666667,0.7946447396162766,0.18882268845829098,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Non-Hispanic Asian | 60+ | Male,123,0.6585365853658537,0.6363636363636364,0.6140350877192983,0.625,0.4634146341463415,0.7573099415204678,0.19999797885204015,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Non-Hispanic Black | 18-39 | Female,429,0.8368298368298368,0.17105263157894737,0.65,0.2708333333333333,0.046620046620046623,0.8295843520782396,0.13252627261516384,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Non-Hispanic Black | 18-39 | Male,328,0.9024390243902439,0.14285714285714285,0.7142857142857143,0.23809523809523808,0.021341463414634148,0.9376947040498442,0.0852612773330768,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Non-Hispanic Black | 40-59 | Female,399,0.5914786967418546,0.3394495412844037,0.7956989247311828,0.4758842443729904,0.23308270676691728,0.7557453088762387,0.2548875562854315,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Non-Hispanic Black | 40-59 | Male,349,0.7392550143266475,0.43703703703703706,0.7972972972972973,0.5645933014354066,0.21203438395415472,0.8251351351351351,0.18927951840051366,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Non-Hispanic Black | 60+ | Female,398,0.550251256281407,0.4295774647887324,0.8776978417266187,0.5768321513002365,0.3492462311557789,0.7337712841309962,0.2630008569093948,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Non-Hispanic Black | 60+ | Male,423,0.6453900709219859,0.5103734439834025,0.7935483870967742,0.6212121212121212,0.3664302600472813,0.7537674530572942,0.2198172429948928,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Non-Hispanic White | 18-39 | Female,475,0.8736842105263158,0.18181818181818182,0.6666666666666666,0.2857142857142857,0.037894736842105266,0.8531485533673717,0.10862624541321539,LogReg,NHANES,0.2561925314694522,0.3317045723762142
