Subgroup,LogReg,NeuralNet,RandomForest
Mexican American | 18-39 | Female,0.8999418266433973,0.9028504944735312,0.8977603257707969
Mexican American | 18-39 | Male,0.8973623853211009,0.8985091743119267,0.7935779816513762
Mexican American | 40-59 | Female,0.8159677419354839,0.8116129032258065,0.7575806451612903
Mexican American | 40-59 | Male,0.8339130434782608,0.8171739130434783,0.7082608695652174
Mexican American | 60+ | Female,0.7836363636363637,0.7781818181818182,0.6746969696969698
Mexican American | 60+ | Male,0.8112648221343873,0.801602986385595,0.6325208607817304
Non-Hispanic Asian | 18-39 | Female,0.6791044776119404,0.6106965174129353,0.595771144278607
Non-Hispanic Asian | 18-39 | Male,0.8647506339814032,0.8537616229923922,0.7455621301775148
Non-Hispanic Asian | 40-59 | Female,0.8352463605823068,0.8218085106382979,0.7746360582306832
Non-Hispanic Asian | 40-59 | Male,0.8398692810457518,0.8296197266785501,0.6905080213903743
Non-Hispanic Asian | 60+ | Female,0.7946447396162766,0.7727176892262282,0.6100569259962048
Non-Hispanic Asian | 60+ | Male,0.7573099415204678,0.7434875066454013,0.5891812865497076
Non-Hispanic Black | 18-39 | Female,0.8295843520782396,0.8140586797066015,0.7778728606356968
Non-Hispanic Black | 18-39 | Male,0.9376947040498442,0.919448153093013,0.9368046283934135
Non-Hispanic Black | 40-59 | Female,0.7557453088762387,0.7500175697519151,0.7184798650643053
Non-Hispanic Black | 40-59 | Male,0.8251351351351351,0.8162899262899264,0.7276658476658477
Non-Hispanic Black | 60+ | Female,0.7337712841309962,0.7231049137523958,0.6693425182633816
Non-Hispanic Black | 60+ | Male,0.7537674530572942,0.7453177660086664,0.6736759749638902
Non-Hispanic White | 18-39 | Female,0.8531485533673717,0.8482859226841721,0.7991125699003161
Non-Hispanic White | 18-39 | Male,0.7997364953886693,0.7905138339920947,0.7310057092665788
Non-Hispanic White | 40-59 | Female,0.8586799501867994,0.8655043586550436,0.8590286425902864
Non-Hispanic White | 40-59 | Male,0.7978801643954142,0.7930780878217608,0.7366428725935539
Non-Hispanic White | 60+ | Female,0.8391510770975057,0.830392573696145,0.7343324829931972
Non-Hispanic White | 60+ | Male,0.82448455236611,0.8151548975422782,0.6851978602868395
Other Hispanic | 18-39 | Female,0.6323529411764706,0.6941176470588235,0.7676470588235295
Other Hispanic | 18-39 | Male,0.9586206896551724,0.9351724137931035,0.7986206896551724
Other Hispanic | 40-59 | Female,0.8511278195488723,0.8360902255639098,0.7270676691729323
Other Hispanic | 40-59 | Male,0.8340336134453782,0.8189775910364147,0.704656862745098
Other Hispanic | 60+ | Female,0.7132352941176471,0.7062594268476622,0.6455505279034691
Other Hispanic | 60+ | Male,0.7110851353984025,0.7050457821936489,0.6173777518020651
Other Race | 18-39 | Female,0.9623529411764706,0.9670588235294117,0.948235294117647
Other Race | 18-39 | Male,0.8806818181818182,0.8835227272727272,0.6818181818181819
Other Race | 40-59 | Female,0.884313725490196,0.8666666666666667,0.8117647058823529
Other Race | 40-59 | Male,0.7413223140495868,0.7413223140495868,0.7115702479338843
Other Race | 60+ | Female,0.6958333333333333,0.7208333333333333,0.73125
Other Race | 60+ | Male,0.8355780022446689,0.8310886644219977,0.7171717171717171
PIMA_Overall,0.7868518518518518,0.8066666666666666,0.8216666666666668
Unknown | 18-39 | Unknown | Unknown,0.698649048373627,0.7041013752059794,0.672292338208671
Unknown | 40-59 | Unknown | Unknown,0.7019018511140054,0.6992041024365016,0.619239766958702
Unknown | 60+ | Unknown | Unknown,0.6718675557330333,0.6721571710356908,0.6390887078137129
