subgroup,bin_center,fraction_positives,n_bins
Mexican American,0.07111919759518666,0.0,10
Mexican American,0.15149334755493069,0.008,10
Mexican American,0.253304291542621,0.006097560975609756,10
Mexican American,0.3497023256123091,0.06134969325153374,10
Mexican American,0.4517603882798787,0.14193548387096774,10
Mexican American,0.552054828910998,0.26811594202898553,10
Mexican American,0.6451006967708378,0.4,10
Mexican American,0.7440006282848136,0.5254237288135594,10
Mexican American,0.8498751111024025,0.6923076923076923,10
Mexican American,0.9644257313159257,0.9821428571428571,10
Non-Hispanic Asian,0.07358913350490197,0.0,10
Non-Hispanic Asian,0.14930247786885895,0.010416666666666666,10
Non-Hispanic Asian,0.25084265015825086,0.0273972602739726,10
Non-Hispanic Asian,0.348931756758742,0.13930348258706468,10
Non-Hispanic Asian,0.4474583094660494,0.2413793103448276,10
Non-Hispanic Asian,0.541906132227194,0.35353535353535354,10
Non-Hispanic Asian,0.6403377142260251,0.4423076923076923,10
Non-Hispanic Asian,0.7534320917315283,0.875,10
Non-Hispanic Asian,0.8434802689007065,0.9285714285714286,10
Non-Hispanic Asian,0.9512966404040478,1.0,10
Non-Hispanic Black,0.07014676051613862,0.0,10
Non-Hispanic Black,0.1524534403141311,0.012145748987854251,10
Non-Hispanic Black,0.2519703922371654,0.024054982817869417,10
Non-Hispanic Black,0.3519927888246941,0.07467532467532467,10
Non-Hispanic Black,0.45087989723368865,0.12956810631229235,10
Non-Hispanic Black,0.5485589698191351,0.24085365853658536,10
Non-Hispanic Black,0.6506884060861761,0.323943661971831,10
Non-Hispanic Black,0.7466639656543321,0.4449760765550239,10
Non-Hispanic Black,0.8493780277111609,0.5,10
Non-Hispanic Black,0.9637793288624354,0.7857142857142857,10
Non-Hispanic White,0.07362052847707792,0.008,10
Non-Hispanic White,0.15151967150104667,0.008849557522123894,10
Non-Hispanic White,0.24671261169988365,0.024725274725274724,10
Non-Hispanic White,0.3509879279886024,0.023622047244094488,10
Non-Hispanic White,0.45154241559281,0.055299539170506916,10
Non-Hispanic White,0.5513913776503729,0.1382716049382716,10
Non-Hispanic White,0.6474841430285221,0.2175,10
Non-Hispanic White,0.7471831528008024,0.4083044982698962,10
Non-Hispanic White,0.8409092212721017,0.5421686746987951,10
Non-Hispanic White,0.9561383812839933,0.8699186991869918,10
Other Hispanic,0.07121290502960963,0.0,10
Other Hispanic,0.15639007261600263,0.009009009009009009,10
Other Hispanic,0.24906144179534936,0.008264462809917356,10
Other Hispanic,0.35220321277405886,0.050724637681159424,10
Other Hispanic,0.45202200702985357,0.1640625,10
Other Hispanic,0.5478857473769801,0.2746478873239437,10
Other Hispanic,0.6493915902723967,0.4019607843137255,10
Other Hispanic,0.7387451988032788,0.4642857142857143,10
Other Hispanic,0.8460298008554975,0.5294117647058824,10
Other Hispanic,0.9696614977881668,0.9655172413793104,10
Other Race,0.07600052380990058,0.0,10
Other Race,0.14782771995572272,0.028985507246376812,10
Other Race,0.2514686922065273,0.037037037037037035,10
Other Race,0.3462618131907617,0.05172413793103448,10
Other Race,0.4541912346569074,0.10714285714285714,10
Other Race,0.540066730818972,0.25396825396825395,10
Other Race,0.6502504232293378,0.36363636363636365,10
Other Race,0.7544307660467773,0.45454545454545453,10
Other Race,0.8407975979325689,0.7,10
Other Race,0.9568487547751436,0.8571428571428571,10
