subgroup,bin_center,fraction_positives,n_bins
Mexican American,0.1763649672269821,0.1,9
Mexican American,0.2624318292980528,0.05058365758754864,9
Mexican American,0.3531305233604814,0.18092105263157895,9
Mexican American,0.4224864926475745,0.3942307692307692,9
Mexican American,0.5423973089172727,1.0,9
Mexican American,0.6534507700375148,1.0,9
Mexican American,0.7360851547934792,1.0,9
Mexican American,0.8278718888759613,1.0,9
Mexican American,0.9247352480888367,1.0,9
Non-Hispanic Asian,0.18413376907507578,0.0,8
Non-Hispanic Asian,0.25972015101329554,0.08928571428571429,8
Non-Hispanic Asian,0.34245782250603196,0.2084942084942085,8
Non-Hispanic Asian,0.4222471447040637,0.5416666666666666,8
Non-Hispanic Asian,0.5534895701067788,1.0,8
Non-Hispanic Asian,0.6357039511203766,1.0,8
Non-Hispanic Asian,0.7274955809116364,1.0,8
Non-Hispanic Asian,0.802989661693573,1.0,8
Non-Hispanic Black,0.17813952434808017,0.05,9
Non-Hispanic Black,0.26093267885449833,0.09504132231404959,9
Non-Hispanic Black,0.3513501280227395,0.21555915721231766,9
Non-Hispanic Black,0.4172479718495784,0.3444976076555024,9
Non-Hispanic Black,0.5564710958437487,1.0,9
Non-Hispanic Black,0.6552473236532772,1.0,9
Non-Hispanic Black,0.7460621173183123,1.0,9
Non-Hispanic Black,0.862459251513848,1.0,9
Non-Hispanic Black,0.9105203151702881,1.0,9
Non-Hispanic White,0.18211673221118013,0.056338028169014086,9
Non-Hispanic White,0.26079412614634645,0.06358885017421603,9
Non-Hispanic White,0.3455006063456271,0.17546174142480211,9
Non-Hispanic White,0.4172694276129534,0.3401015228426396,9
Non-Hispanic White,0.5417277048795651,1.0,9
Non-Hispanic White,0.6491930509606997,1.0,9
Non-Hispanic White,0.7493688326615554,1.0,9
Non-Hispanic White,0.8527633100748062,1.0,9
Non-Hispanic White,0.9155812561511993,1.0,9
Other Hispanic,0.1875799037516117,0.05,8
Other Hispanic,0.2625956752694639,0.09398496240601503,8
Other Hispanic,0.3502662522203727,0.18482490272373542,8
Other Hispanic,0.4194960668683052,0.4342105263157895,8
Other Hispanic,0.5426311418414116,1.0,8
Other Hispanic,0.6534431917326791,1.0,8
Other Hispanic,0.7459968447685241,1.0,8
Other Hispanic,0.8706847131252289,1.0,8
Other Race,0.09315568208694458,0.0,10
Other Race,0.18279763807853064,0.16666666666666666,10
Other Race,0.25960696828277674,0.051470588235294115,10
Other Race,0.3509573894076877,0.17777777777777778,10
Other Race,0.41535022016614676,0.40625,10
Other Race,0.545784205198288,1.0,10
Other Race,0.6292262077331543,1.0,10
Other Race,0.7116734584172567,1.0,10
Other Race,0.8574811816215515,1.0,10
Other Race,0.9309530854225159,1.0,10
