subgroup,bin_center,fraction_positives,n_bins
Mexican American,0.18236500753296747,0.0,9
Mexican American,0.25557602083058334,0.013100436681222707,9
Mexican American,0.35299081618295,0.058823529411764705,9
Mexican American,0.4285690814792039,0.33532934131736525,9
Mexican American,0.5460722483694553,0.96875,9
Mexican American,0.647189431465589,1.0,9
Mexican American,0.7487508336702983,1.0,9
Mexican American,0.8639007156545465,1.0,9
Mexican American,0.9214174747467041,1.0,9
Non-Hispanic Asian,0.1731570376591249,0.0,8
Non-Hispanic Asian,0.2575178882622631,0.01845018450184502,8
Non-Hispanic Asian,0.3500262837251419,0.07635467980295567,8
Non-Hispanic Asian,0.41900274167392426,0.3509933774834437,8
Non-Hispanic Asian,0.5551788071791331,1.0,8
Non-Hispanic Asian,0.6487440498251664,1.0,8
Non-Hispanic Asian,0.7715978821118673,1.0,8
Non-Hispanic Asian,0.8396339118480682,1.0,8
Non-Hispanic Black,0.17530071135701203,0.024390243902439025,9
Non-Hispanic Black,0.25658781292674304,0.01978021978021978,9
Non-Hispanic Black,0.35028912000153833,0.0735930735930736,9
Non-Hispanic Black,0.43066656692706023,0.3095487932843652,9
Non-Hispanic Black,0.5422029263937651,0.8208955223880597,9
Non-Hispanic Black,0.6418818533420563,1.0,9
Non-Hispanic Black,0.7604599118232727,1.0,9
Non-Hispanic Black,0.8362753215958091,1.0,9
Non-Hispanic Black,0.9343168193643744,1.0,9
Non-Hispanic White,0.1807636421918869,0.02,9
Non-Hispanic White,0.25724587187031717,0.014953271028037384,9
Non-Hispanic White,0.3504830201047275,0.027455121436114043,9
Non-Hispanic White,0.430630638291274,0.23798266351457842,9
Non-Hispanic White,0.5365049444049238,0.891566265060241,9
Non-Hispanic White,0.6497029878876426,1.0,9
Non-Hispanic White,0.7453868985176086,1.0,9
Non-Hispanic White,0.8629051872662136,1.0,9
Non-Hispanic White,0.9345835230567239,1.0,9
Other Hispanic,0.1749571451256352,0.0,9
Other Hispanic,0.25712264635983634,0.0106951871657754,9
Other Hispanic,0.3513172435206036,0.07308970099667775,9
Other Hispanic,0.42720806571894776,0.3263473053892216,9
Other Hispanic,0.5454259973305923,0.9230769230769231,9
Other Hispanic,0.6613487260682243,1.0,9
Other Hispanic,0.7584355175495148,1.0,9
Other Hispanic,0.8359300295511881,1.0,9
Other Hispanic,0.9346234032085964,1.0,9
Other Race,0.1839308187365532,0.0,9
Other Race,0.25146242691122966,0.017391304347826087,9
Other Race,0.3479365893910008,0.07258064516129033,9
Other Race,0.4274253830097724,0.3115942028985507,9
Other Race,0.552307301097446,0.8888888888888888,9
Other Race,0.6360775324014517,1.0,9
Other Race,0.7462422400712967,1.0,9
Other Race,0.8988134264945984,1.0,9
Other Race,0.9391918579737345,1.0,9
