subgroup,bin_center,fraction_positives,n_bins
Mexican American,0.17252810448408126,0.0,7
Mexican American,0.2561540691989713,0.01327433628318584,7
Mexican American,0.3511090247294842,0.11794871794871795,7
Mexican American,0.4376869115771519,0.3541666666666667,7
Mexican American,0.5533129129298898,0.9767441860465116,7
Mexican American,0.6409469172358513,1.0,7
Mexican American,0.7207596182823182,1.0,7
Non-Hispanic Asian,0.17347896236338115,0.0,6
Non-Hispanic Asian,0.2556235376865633,0.02258064516129032,6
Non-Hispanic Asian,0.3469919877689938,0.1821705426356589,6
Non-Hispanic Asian,0.43407363569649465,0.49635036496350365,6
Non-Hispanic Asian,0.5493867505680431,1.0,6
Non-Hispanic Asian,0.6286150336265564,1.0,6
Non-Hispanic Black,0.16974809531965396,0.0,7
Non-Hispanic Black,0.2567546482650076,0.03319502074688797,7
Non-Hispanic Black,0.3517248943101528,0.13023255813953488,7
Non-Hispanic Black,0.44232313846295385,0.3485254691689008,7
Non-Hispanic Black,0.5429854484704825,0.9807692307692307,7
Non-Hispanic Black,0.6449822987380781,1.0,7
Non-Hispanic Black,0.7360551411455328,1.0,7
Non-Hispanic White,0.17298324237454613,0.006289308176100629,7
Non-Hispanic White,0.2581829545147057,0.014240506329113924,7
Non-Hispanic White,0.3513992387088421,0.08224442736356649,7
Non-Hispanic White,0.4397088018330661,0.32254047322540474,7
Non-Hispanic White,0.544658772916679,0.963855421686747,7
Non-Hispanic White,0.6403057336807251,1.0,7
Non-Hispanic White,0.7348500260939965,1.0,7
Other Hispanic,0.17211419503603662,0.0,7
Other Hispanic,0.25790106104586713,0.021505376344086023,7
Other Hispanic,0.35431026814815897,0.13541666666666666,7
Other Hispanic,0.43655112580961536,0.34934497816593885,7
Other Hispanic,0.5322972953319549,0.9,7
Other Hispanic,0.6383753170569738,1.0,7
Other Hispanic,0.7394412755966187,1.0,7
Other Race,0.17283922072612878,0.0,7
Other Race,0.251356860766044,0.02564102564102564,7
Other Race,0.35045779641572533,0.12987012987012986,7
Other Race,0.43970825523138046,0.3541666666666667,7
Other Race,0.5402319331963857,0.9444444444444444,7
Other Race,0.6246782064437866,1.0,7
Other Race,0.7308478802442551,1.0,7
