umap_x,umap_y,domain,sample_idx,protected,method
8.97325,12.794161,BRFSS,335056,,CORAL_BRFSS
7.6632395,11.827664,BRFSS,255315,,CORAL_BRFSS
6.1145883,7.084125,BRFSS,248056,,CORAL_BRFSS
10.43152,3.053862,BRFSS,415816,,CORAL_BRFSS
7.2440186,7.0088673,BRFSS,203674,,CORAL_BRFSS
10.282731,11.917397,BRFSS,291932,,CORAL_BRFSS
-3.4538705,1.05994,BRFSS,378871,,CORAL_BRFSS
14.074632,5.776549,BRFSS,188649,,CORAL_BRFSS
6.1597686,11.8493,BRFSS,415527,,CORAL_BRFSS
9.498718,11.903415,BRFSS,431109,,CORAL_BRFSS
10.524403,9.350397,BRFSS,91210,,CORAL_BRFSS
4.288088,13.333471,BRFSS,308636,,CORAL_BRFSS
-4.850038,6.182309,BRFSS,295471,,CORAL_BRFSS
13.659408,7.4523363,BRFSS,70711,,CORAL_BRFSS
-1.3384701,11.348824,BRFSS,90320,,CORAL_BRFSS
-3.8664958,4.3083415,BRFSS,388151,,CORAL_BRFSS
6.401586,8.464251,BRFSS,122174,,CORAL_BRFSS
-3.4812891,1.0350795,BRFSS,390750,,CORAL_BRFSS
-0.5815417,11.827923,BRFSS,238060,,CORAL_BRFSS
19.685146,0.55994165,BRFSS,298081,,CORAL_BRFSS
12.969006,7.393876,BRFSS,142654,,CORAL_BRFSS
3.9046822,10.983787,BRFSS,94604,,CORAL_BRFSS
9.027812,13.441458,BRFSS,297425,,CORAL_BRFSS
6.6205673,11.048065,BRFSS,327566,,CORAL_BRFSS
-4.0375967,1.8832186,BRFSS,387897,,CORAL_BRFSS
8.599075,13.72593,BRFSS,361343,,CORAL_BRFSS
15.059115,5.266167,BRFSS,375365,,CORAL_BRFSS
9.588009,6.3241677,BRFSS,343980,,CORAL_BRFSS
-0.8033849,10.760304,BRFSS,142103,,CORAL_BRFSS
19.720726,0.5756823,BRFSS,151303,,CORAL_BRFSS
7.343878,8.191265,BRFSS,220879,,CORAL_BRFSS
13.104559,7.0199466,BRFSS,11744,,CORAL_BRFSS
-2.748374,9.591194,BRFSS,101683,,CORAL_BRFSS
10.462887,10.8941765,BRFSS,230691,,CORAL_BRFSS
14.879007,0.39658102,BRFSS,109179,,CORAL_BRFSS
2.7473397,8.119082,BRFSS,33227,,CORAL_BRFSS
6.8410444,11.748775,BRFSS,34895,,CORAL_BRFSS
-1.3748381,10.706383,BRFSS,23023,,CORAL_BRFSS
-2.7042072,10.717835,BRFSS,397903,,CORAL_BRFSS
2.2477572,8.821,BRFSS,124699,,CORAL_BRFSS
-1.3720402,10.004823,BRFSS,363767,,CORAL_BRFSS
7.252769,7.9507556,NHANES,7487,Non-Hispanic Black,CORAL_BRFSS
0.1767937,7.143785,BRFSS,341673,,CORAL_BRFSS
2.5811272,7.3011355,BRFSS,183314,,CORAL_BRFSS
13.313392,3.21165,BRFSS,237772,,CORAL_BRFSS
7.7331586,11.958917,BRFSS,378354,,CORAL_BRFSS
9.64281,4.6992025,BRFSS,80507,,CORAL_BRFSS
-3.009634,2.5059192,BRFSS,124159,,CORAL_BRFSS
-1.9530082,2.5961142,BRFSS,338705,,CORAL_BRFSS
13.62077,2.665451,BRFSS,308892,,CORAL_BRFSS
-2.9538517,3.4979439,BRFSS,397688,,CORAL_BRFSS
16.07599,1.5854559,BRFSS,340806,,CORAL_BRFSS
-2.1248572,8.281747,BRFSS,54978,,CORAL_BRFSS
-3.1943805,4.880844,BRFSS,56996,,CORAL_BRFSS
-7.076777,-19.534958,BRFSS,392380,,CORAL_BRFSS
-1.8104641,11.94734,BRFSS,437141,,CORAL_BRFSS
10.295433,2.863262,BRFSS,73315,,CORAL_BRFSS
11.151445,11.046823,BRFSS,434108,,CORAL_BRFSS
-2.5976877,9.407519,BRFSS,276798,,CORAL_BRFSS
10.3463745,3.8869493,BRFSS,353474,,CORAL_BRFSS
10.3744955,4.5734906,BRFSS,193463,,CORAL_BRFSS
3.6142607,10.881971,BRFSS,361936,,CORAL_BRFSS
-0.44048434,10.547095,BRFSS,314089,,CORAL_BRFSS
12.869573,4.499101,BRFSS,226252,,CORAL_BRFSS
-2.479007,11.131769,BRFSS,9912,,CORAL_BRFSS
15.63632,2.0354009,BRFSS,65981,,CORAL_BRFSS
-2.6648202,11.078579,BRFSS,243470,,CORAL_BRFSS
4.130317,12.996077,BRFSS,110325,,CORAL_BRFSS
3.9825668,8.110737,BRFSS,246026,,CORAL_BRFSS
11.00388,8.187588,BRFSS,331005,,CORAL_BRFSS
1.6114025,-13.21981,BRFSS,120133,,CORAL_BRFSS
2.0105627,7.161081,BRFSS,402641,,CORAL_BRFSS
12.156131,6.6134953,BRFSS,95011,,CORAL_BRFSS
7.159592,15.012224,BRFSS,152833,,CORAL_BRFSS
-2.7098627,7.878304,BRFSS,389223,,CORAL_BRFSS
9.782494,9.100048,BRFSS,407849,,CORAL_BRFSS
6.515047,14.118016,BRFSS,338595,,CORAL_BRFSS
2.230526,11.088637,BRFSS,28409,,CORAL_BRFSS
8.1490965,7.587744,BRFSS,185036,,CORAL_BRFSS
-2.8819056,8.545521,BRFSS,406161,,CORAL_BRFSS
13.773418,7.401996,BRFSS,84233,,CORAL_BRFSS
-2.982924,8.709118,BRFSS,239993,,CORAL_BRFSS
0.7094188,8.952948,BRFSS,170556,,CORAL_BRFSS
4.8220196,-6.920461,BRFSS,184950,,CORAL_BRFSS
14.913097,0.4289862,BRFSS,314852,,CORAL_BRFSS
9.304142,13.420217,BRFSS,29313,,CORAL_BRFSS
12.50473,4.9826865,BRFSS,375818,,CORAL_BRFSS
10.135396,11.382743,BRFSS,200437,,CORAL_BRFSS
8.709203,10.748769,BRFSS,144508,,CORAL_BRFSS
11.043899,8.173687,BRFSS,50507,,CORAL_BRFSS
-3.904906,2.196314,BRFSS,360526,,CORAL_BRFSS
10.334505,10.640838,BRFSS,417317,,CORAL_BRFSS
6.0905,13.544495,BRFSS,351267,,CORAL_BRFSS
2.2253883,9.853936,BRFSS,64414,,CORAL_BRFSS
-4.2251916,7.12304,BRFSS,74957,,CORAL_BRFSS
-4.001884,2.542012,BRFSS,341526,,CORAL_BRFSS
9.559967,6.8683677,BRFSS,99983,,CORAL_BRFSS
-2.54742,0.98070353,BRFSS,20895,,CORAL_BRFSS
8.399363,11.809432,BRFSS,371061,,CORAL_BRFSS
4.337882,13.413461,BRFSS,312333,,CORAL_BRFSS
-3.0609152,9.983158,BRFSS,211827,,CORAL_BRFSS
-4.4916263,6.0931053,BRFSS,152942,,CORAL_BRFSS
14.624423,4.50094,BRFSS,12771,,CORAL_BRFSS
2.8774695,8.824017,BRFSS,443384,,CORAL_BRFSS
11.496054,5.2948976,BRFSS,102505,,CORAL_BRFSS
-2.8395808,2.5904944,BRFSS,317382,,CORAL_BRFSS
3.6598651,-6.787954,BRFSS,282636,,CORAL_BRFSS
-3.556494,-14.534957,BRFSS,248965,,CORAL_BRFSS
-3.8981085,-14.191457,BRFSS,190718,,CORAL_BRFSS
16.024317,1.3811401,BRFSS,131134,,CORAL_BRFSS
0.05135517,12.36584,BRFSS,440653,,CORAL_BRFSS
-4.782036,4.1043425,BRFSS,369032,,CORAL_BRFSS
15.394937,0.8505117,BRFSS,18580,,CORAL_BRFSS
-6.3571014,-18.304243,BRFSS,334557,,CORAL_BRFSS
0.71517223,8.461821,BRFSS,204340,,CORAL_BRFSS
7.713203,5.7023687,BRFSS,278169,,CORAL_BRFSS
-1.9138403,2.633367,BRFSS,445177,,CORAL_BRFSS
-3.7900693,6.763413,BRFSS,188426,,CORAL_BRFSS
-4.6786966,3.26098,BRFSS,363406,,CORAL_BRFSS
-3.9000332,6.1503835,BRFSS,56232,,CORAL_BRFSS
-6.4249682,-18.374945,BRFSS,412604,,CORAL_BRFSS
5.943347,6.422199,BRFSS,214928,,CORAL_BRFSS
-2.7648294,9.16217,BRFSS,405199,,CORAL_BRFSS
-1.865202,11.9419155,BRFSS,344368,,CORAL_BRFSS
4.117205,12.961917,BRFSS,170855,,CORAL_BRFSS
15.746007,1.9380938,BRFSS,304808,,CORAL_BRFSS
1.4141656,11.231271,BRFSS,63978,,CORAL_BRFSS
9.790469,3.1268034,BRFSS,135444,,CORAL_BRFSS
9.261988,3.845477,BRFSS,410566,,CORAL_BRFSS
12.665049,6.9023323,BRFSS,370396,,CORAL_BRFSS
-3.696981,7.22479,BRFSS,65660,,CORAL_BRFSS
14.960852,4.66632,BRFSS,262531,,CORAL_BRFSS
-4.342501,-13.68169,BRFSS,383324,,CORAL_BRFSS
-0.78350544,13.151014,BRFSS,313665,,CORAL_BRFSS
12.3735485,5.8757014,BRFSS,163953,,CORAL_BRFSS
13.640214,2.6389074,BRFSS,180468,,CORAL_BRFSS
9.305606,3.7033024,BRFSS,357596,,CORAL_BRFSS
10.351693,10.631739,BRFSS,366314,,CORAL_BRFSS
-2.9145808,0.8423246,BRFSS,200196,,CORAL_BRFSS
2.7687917,12.930776,BRFSS,112666,,CORAL_BRFSS
-1.6091697,6.780672,BRFSS,331779,,CORAL_BRFSS
-3.8214514,2.2687297,BRFSS,275471,,CORAL_BRFSS
9.28111,3.8105557,BRFSS,31620,,CORAL_BRFSS
3.803838,-6.681688,BRFSS,97860,,CORAL_BRFSS
