umap_x,umap_y,domain,sample_idx,protected,method
9.529634,-4.6741014,BRFSS,436072,,CORAL_NHANES
1.3501074,3.8844197,BRFSS,219834,,CORAL_NHANES
17.027294,6.264375,BRFSS,19966,,CORAL_NHANES
17.795,1.2664323,BRFSS,262068,,CORAL_NHANES
7.5190063,-3.3957198,BRFSS,316176,,CORAL_NHANES
0.1885887,7.396405,BRFSS,420733,,CORAL_NHANES
4.325757,-1.194066,BRFSS,307414,,CORAL_NHANES
1.4577107,-1.0270349,BRFSS,104317,,CORAL_NHANES
16.700281,9.21661,BRFSS,139451,,CORAL_NHANES
-3.5981226,12.768304,BRFSS,30530,,CORAL_NHANES
17.968073,2.223146,BRFSS,429928,,CORAL_NHANES
15.227466,3.3409433,BRFSS,179802,,CORAL_NHANES
-11.294358,17.742607,BRFSS,46940,,CORAL_NHANES
-7.8141418,2.4040537,BRFSS,318039,,CORAL_NHANES
4.723549,6.7333817,BRFSS,205523,,CORAL_NHANES
1.7624546,5.218107,BRFSS,289919,,CORAL_NHANES
13.504383,2.4672525,BRFSS,371107,,CORAL_NHANES
12.526435,-1.0940281,BRFSS,424658,,CORAL_NHANES
15.245194,11.342507,BRFSS,255076,,CORAL_NHANES
1.4663388,1.6682761,BRFSS,96456,,CORAL_NHANES
9.596829,-2.5097601,BRFSS,392555,,CORAL_NHANES
-10.217062,17.31166,BRFSS,56835,,CORAL_NHANES
-2.9919484,-8.540135,NHANES,928,Non-Hispanic White,CORAL_NHANES
-3.1014507,-8.649645,PIMA,583,Pima Indian,CORAL_NHANES
-7.2865806,4.9474406,BRFSS,101119,,CORAL_NHANES
2.373937,4.7942815,BRFSS,236650,,CORAL_NHANES
0.14180158,6.434579,BRFSS,56380,,CORAL_NHANES
11.133812,-2.9219875,BRFSS,129153,,CORAL_NHANES
11.918743,1.1689988,BRFSS,354939,,CORAL_NHANES
17.792255,1.7516674,BRFSS,103959,,CORAL_NHANES
14.722404,7.14066,BRFSS,23940,,CORAL_NHANES
3.7584016,0.5742198,BRFSS,26072,,CORAL_NHANES
17.86355,2.0366952,BRFSS,391272,,CORAL_NHANES
0.9480933,7.442585,BRFSS,395642,,CORAL_NHANES
17.405348,1.2203983,BRFSS,344358,,CORAL_NHANES
1.3243905,12.700338,NHANES,3968,Non-Hispanic Black,CORAL_NHANES
3.9633975,10.428631,BRFSS,146754,,CORAL_NHANES
11.656433,-1.43677,BRFSS,188217,,CORAL_NHANES
2.3798943,12.779237,BRFSS,410290,,CORAL_NHANES
15.817444,12.089139,BRFSS,337447,,CORAL_NHANES
3.9517314,13.006948,BRFSS,276827,,CORAL_NHANES
17.66497,6.3631144,BRFSS,197245,,CORAL_NHANES
17.369009,4.3029146,BRFSS,249143,,CORAL_NHANES
4.2577767,-1.2277143,BRFSS,309740,,CORAL_NHANES
16.789663,6.93576,BRFSS,330194,,CORAL_NHANES
10.223061,-4.5321016,BRFSS,425407,,CORAL_NHANES
17.79117,5.308143,BRFSS,101416,,CORAL_NHANES
15.488721,9.582315,BRFSS,378704,,CORAL_NHANES
18.211706,0.8098935,BRFSS,287721,,CORAL_NHANES
-7.827387,2.3996038,BRFSS,72049,,CORAL_NHANES
-11.5729475,17.933945,BRFSS,337496,,CORAL_NHANES
7.742884,-2.7560663,BRFSS,101990,,CORAL_NHANES
-7.273603,4.8765035,BRFSS,90910,,CORAL_NHANES
-9.540274,3.2243557,BRFSS,319833,,CORAL_NHANES
-7.2664127,4.8585944,BRFSS,350375,,CORAL_NHANES
16.240149,1.1540451,BRFSS,311932,,CORAL_NHANES
13.818743,3.7759404,BRFSS,190785,,CORAL_NHANES
2.9115992,5.6933866,BRFSS,136499,,CORAL_NHANES
7.3199706,1.238144,BRFSS,427197,,CORAL_NHANES
9.91381,-3.7408528,BRFSS,16662,,CORAL_NHANES
15.551794,7.700817,BRFSS,138015,,CORAL_NHANES
-12.647249,18.736696,BRFSS,257390,,CORAL_NHANES
13.881989,4.073495,BRFSS,173806,,CORAL_NHANES
1.1983802,0.48193213,BRFSS,187187,,CORAL_NHANES
10.020005,-2.8812656,BRFSS,29070,,CORAL_NHANES
15.577164,4.971796,BRFSS,138420,,CORAL_NHANES
15.44321,2.3580768,BRFSS,245621,,CORAL_NHANES
13.699081,8.460239,BRFSS,222454,,CORAL_NHANES
