umap_x,umap_y,domain,sample_idx,protected,method
17.342436,-9.793432,BRFSS,159081,,DANN_BRFSS
-2.069777,1.0067383,BRFSS,86837,,DANN_BRFSS
1.9913771,12.630004,BRFSS,238844,,DANN_BRFSS
15.575538,2.1235251,BRFSS,25914,,DANN_BRFSS
8.875688,9.276328,BRFSS,209196,,DANN_BRFSS
11.137145,-2.5845518,BRFSS,385267,,DANN_BRFSS
-3.4170365,1.7236637,BRFSS,99794,,DANN_BRFSS
9.7126875,8.113899,BRFSS,200753,,DANN_BRFSS
11.898757,4.954308,BRFSS,256779,,DANN_BRFSS
8.658016,-0.847095,BRFSS,332914,,DANN_BRFSS
10.166679,13.715543,BRFSS,57255,,DANN_BRFSS
-2.588882,4.740423,BRFSS,34169,,DANN_BRFSS
10.100179,13.481527,BRFSS,110046,,DANN_BRFSS
-0.4936839,14.456385,BRFSS,227788,,DANN_BRFSS
7.596079,14.782785,BRFSS,68836,,DANN_BRFSS
-4.409883,3.673953,BRFSS,34197,,DANN_BRFSS
2.034563,10.579838,BRFSS,20963,,DANN_BRFSS
-2.32389,7.073471,BRFSS,54207,,DANN_BRFSS
-2.6296945,9.822798,BRFSS,440287,,DANN_BRFSS
-2.1843526,5.7828584,NHANES,4735,Non-Hispanic White,DANN_BRFSS
-2.1193185,1.4610385,BRFSS,382607,,DANN_BRFSS
9.701346,15.987574,BRFSS,268897,,DANN_BRFSS
7.3181396,-2.9729936,BRFSS,316928,,DANN_BRFSS
7.4881506,16.757298,BRFSS,419040,,DANN_BRFSS
3.4732947,15.145832,BRFSS,182568,,DANN_BRFSS
14.93976,2.6486983,BRFSS,109003,,DANN_BRFSS
9.005205,9.59284,BRFSS,190147,,DANN_BRFSS
10.723961,3.335043,BRFSS,228470,,DANN_BRFSS
-0.94767004,3.9322836,BRFSS,100492,,DANN_BRFSS
10.610616,3.3317053,BRFSS,370645,,DANN_BRFSS
7.8244967,6.265394,BRFSS,71425,,DANN_BRFSS
7.732619,5.998573,BRFSS,365119,,DANN_BRFSS
1.7448691,11.0933485,BRFSS,41492,,DANN_BRFSS
1.866085,12.122583,BRFSS,130508,,DANN_BRFSS
9.387389,4.1354117,BRFSS,14701,,DANN_BRFSS
-2.3592463,11.265042,BRFSS,83628,,DANN_BRFSS
10.978543,8.636607,BRFSS,415549,,DANN_BRFSS
14.483632,-9.621362,BRFSS,184950,,DANN_BRFSS
7.93934,15.542079,BRFSS,425532,,DANN_BRFSS
-0.8293117,-2.1513703,NHANES,6140,Non-Hispanic Asian,DANN_BRFSS
21.561163,-6.5110717,BRFSS,339666,,DANN_BRFSS
11.644642,8.63788,BRFSS,224051,,DANN_BRFSS
7.8451543,13.782328,BRFSS,138821,,DANN_BRFSS
7.8419466,10.260386,BRFSS,277544,,DANN_BRFSS
2.4803703,15.283531,BRFSS,72324,,DANN_BRFSS
-3.707846,5.1346245,BRFSS,425529,,DANN_BRFSS
7.6739764,10.378871,BRFSS,34141,,DANN_BRFSS
12.719358,3.5815094,BRFSS,85510,,DANN_BRFSS
10.329927,-2.3956168,BRFSS,263362,,DANN_BRFSS
0.05650616,12.57013,BRFSS,317900,,DANN_BRFSS
1.2787763,11.98255,BRFSS,303955,,DANN_BRFSS
15.533338,2.4208539,BRFSS,190693,,DANN_BRFSS
-4.3341403,-8.483819,PIMA,707,Pima Indian,DANN_BRFSS
26.737501,-1.8654351,BRFSS,157513,,DANN_BRFSS
