umap_x,umap_y,domain,sample_idx,protected,method
-1.3614678,-1.7257923,BRFSS,168486,,DANN_NHANES
5.8377757,3.156097,BRFSS,328124,,DANN_NHANES
5.6206837,-3.7745562,BRFSS,214465,,DANN_NHANES
-9.7392845,3.9459841,BRFSS,378342,,DANN_NHANES
-2.531656,11.56834,BRFSS,53639,,DANN_NHANES
-1.9597824,-0.7840224,BRFSS,247532,,DANN_NHANES
3.999483,-0.9283958,BRFSS,213098,,DANN_NHANES
-2.3979142,6.381962,BRFSS,297674,,DANN_NHANES
-4.3688264,12.666918,BRFSS,377118,,DANN_NHANES
13.416022,12.889659,BRFSS,420633,,DANN_NHANES
0.28620175,-1.4754301,BRFSS,142239,,DANN_NHANES
-2.093116,-21.139769,BRFSS,273356,,DANN_NHANES
-12.968299,0.01344308,BRFSS,394369,,DANN_NHANES
-1.8039062,7.492599,BRFSS,259428,,DANN_NHANES
-12.835889,-0.2244519,BRFSS,317965,,DANN_NHANES
-0.5856579,-18.570097,BRFSS,173173,,DANN_NHANES
4.3172593,4.0540385,BRFSS,361479,,DANN_NHANES
-9.539916,3.1018314,BRFSS,299716,,DANN_NHANES
6.6535325,-0.68118554,BRFSS,374333,,DANN_NHANES
0.8525853,7.884214,BRFSS,392293,,DANN_NHANES
-2.8059013,12.988435,BRFSS,220389,,DANN_NHANES
-10.778843,3.0813284,BRFSS,26420,,DANN_NHANES
1.0417659,8.010185,BRFSS,19262,,DANN_NHANES
-4.1315312,-20.57001,BRFSS,425104,,DANN_NHANES
4.563758,0.1541719,BRFSS,444858,,DANN_NHANES
-2.1726494,1.2539219,BRFSS,92852,,DANN_NHANES
12.249585,-3.7383306,BRFSS,171659,,DANN_NHANES
-3.0395606,6.195773,BRFSS,197859,,DANN_NHANES
-10.9095125,1.4396775,BRFSS,274255,,DANN_NHANES
-5.2891397,3.7736263,BRFSS,313256,,DANN_NHANES
0.93649226,10.199671,BRFSS,403239,,DANN_NHANES
-0.58962476,-19.306053,BRFSS,221788,,DANN_NHANES
-11.091739,16.31858,NHANES,5585,Non-Hispanic Black,DANN_NHANES
3.5088332,-1.7915616,BRFSS,302244,,DANN_NHANES
4.5685606,-3.1171186,BRFSS,148657,,DANN_NHANES
-12.810256,0.6481976,BRFSS,348442,,DANN_NHANES
-9.666335,3.3661432,BRFSS,182768,,DANN_NHANES
4.747399,-2.275381,BRFSS,57064,,DANN_NHANES
-1.7529632,1.1116354,BRFSS,303471,,DANN_NHANES
0.42590165,-1.6072297,BRFSS,195751,,DANN_NHANES
-0.7725295,8.682602,BRFSS,300378,,DANN_NHANES
13.688169,13.091566,BRFSS,306563,,DANN_NHANES
