umap_x,umap_y,domain,sample_idx,protected,method
4.4451704,-0.02554979,BRFSS,165046,,MMD_BRFSS
4.955131,-1.812498,BRFSS,165341,,MMD_BRFSS
13.349982,0.07632219,BRFSS,92803,,MMD_BRFSS
11.202116,6.186024,BRFSS,240625,,MMD_BRFSS
-15.351827,14.078875,BRFSS,218723,,MMD_BRFSS
2.6208909,1.4578029,BRFSS,290750,,MMD_BRFSS
0.8820481,12.69704,BRFSS,213430,,MMD_BRFSS
12.729414,4.6925673,BRFSS,418318,,MMD_BRFSS
9.816542,0.8800822,BRFSS,130398,,MMD_BRFSS
3.3337705,-0.32603633,BRFSS,428525,,MMD_BRFSS
12.681488,17.004797,BRFSS,244930,,MMD_BRFSS
5.3559465,2.8019207,BRFSS,360967,,MMD_BRFSS
9.376894,4.6873083,BRFSS,19590,,MMD_BRFSS
0.073306546,11.083056,BRFSS,194078,,MMD_BRFSS
0.8319037,8.660908,BRFSS,28833,,MMD_BRFSS
15.970907,2.609965,BRFSS,223283,,MMD_BRFSS
10.882973,0.62101114,BRFSS,209754,,MMD_BRFSS
13.55448,8.425716,BRFSS,208349,,MMD_BRFSS
16.397385,6.283737,BRFSS,81843,,MMD_BRFSS
0.93881804,6.346851,BRFSS,435869,,MMD_BRFSS
-15.720734,12.846843,BRFSS,288957,,MMD_BRFSS
2.3177161,8.697644,BRFSS,154379,,MMD_BRFSS
11.01474,2.473495,BRFSS,357038,,MMD_BRFSS
13.312745,0.10057273,BRFSS,440892,,MMD_BRFSS
3.9929605,2.4780445,BRFSS,207683,,MMD_BRFSS
6.959711,0.16616987,BRFSS,398542,,MMD_BRFSS
1.7402434,10.668326,BRFSS,37034,,MMD_BRFSS
10.657609,7.5505085,BRFSS,286532,,MMD_BRFSS
4.769552,-4.408787,BRFSS,412503,,MMD_BRFSS
13.047763,2.364831,BRFSS,423400,,MMD_BRFSS
3.7663844,1.4686126,BRFSS,381651,,MMD_BRFSS
14.355573,8.934706,BRFSS,312563,,MMD_BRFSS
1.0021104,2.7982168,BRFSS,442242,,MMD_BRFSS
8.825737,4.962535,BRFSS,446860,,MMD_BRFSS
3.2991138,0.32783735,BRFSS,202054,,MMD_BRFSS
11.908358,5.4258704,BRFSS,228265,,MMD_BRFSS
15.442889,6.75698,BRFSS,137148,,MMD_BRFSS
5.025787,1.633814,BRFSS,215278,,MMD_BRFSS
-9.317417,14.0253935,BRFSS,123714,,MMD_BRFSS
8.8857155,4.9779882,BRFSS,166481,,MMD_BRFSS
4.535422,-2.992595,BRFSS,164256,,MMD_BRFSS
15.917311,8.115387,BRFSS,373868,,MMD_BRFSS
-15.33732,14.090978,BRFSS,260387,,MMD_BRFSS
4.7359743,-3.0291548,BRFSS,312724,,MMD_BRFSS
13.915561,-0.2302376,BRFSS,314310,,MMD_BRFSS
13.727703,7.7516026,BRFSS,151274,,MMD_BRFSS
16.701666,9.503483,BRFSS,344563,,MMD_BRFSS
3.279213,4.1844583,BRFSS,42145,,MMD_BRFSS
12.121652,2.7702641,BRFSS,131059,,MMD_BRFSS
10.143771,-0.78814965,BRFSS,448811,,MMD_BRFSS
8.323085,18.983112,BRFSS,126393,,MMD_BRFSS
9.342037,4.708992,BRFSS,341396,,MMD_BRFSS
12.808126,9.330318,BRFSS,259321,,MMD_BRFSS
12.016338,1.2555438,BRFSS,176859,,MMD_BRFSS
3.2474551,4.207665,NHANES,8910,Non-Hispanic White,MMD_BRFSS
1.4135387,2.4807472,BRFSS,44567,,MMD_BRFSS
15.780327,4.4321074,BRFSS,110688,,MMD_BRFSS
16.562658,1.9880335,BRFSS,13001,,MMD_BRFSS
-11.851174,-0.649426,BRFSS,228585,,MMD_BRFSS
2.1544487,1.4981929,BRFSS,156835,,MMD_BRFSS
-3.7957342,-5.577633,NHANES,5364,Non-Hispanic White,MMD_BRFSS
