umap_x,umap_y,domain,sample_idx,protected,method
3.5942166,-6.5954933,BRFSS,403071,,MMD_NHANES
7.162954,20.09454,BRFSS,100635,,MMD_NHANES
0.6522191,0.2694915,BRFSS,448823,,MMD_NHANES
14.050186,6.338707,BRFSS,355729,,MMD_NHANES
3.0969822,-3.9926913,BRFSS,212625,,MMD_NHANES
3.5605536,3.4849951,BRFSS,369510,,MMD_NHANES
-4.9659457,-5.02243,BRFSS,320860,,MMD_NHANES
-3.729498,3.0512047,BRFSS,218127,,MMD_NHANES
3.8700745,-3.2551177,BRFSS,403216,,MMD_NHANES
-7.432046,-3.7014384,BRFSS,270021,,MMD_NHANES
-1.3745284,-0.87418944,BRFSS,13397,,MMD_NHANES
-1.308681,-0.4140619,BRFSS,111608,,MMD_NHANES
3.1120405,2.2361417,BRFSS,401164,,MMD_NHANES
-1.5740128,-11.073212,BRFSS,125595,,MMD_NHANES
-0.85905623,-9.860323,BRFSS,445059,,MMD_NHANES
7.2313595,4.4083266,BRFSS,252768,,MMD_NHANES
10.871402,0.6915539,BRFSS,337461,,MMD_NHANES
-3.0422962,-8.216125,BRFSS,427982,,MMD_NHANES
4.6439047,-4.5812693,BRFSS,266385,,MMD_NHANES
4.6714673,6.9145145,BRFSS,179373,,MMD_NHANES
0.8066416,-3.2846925,BRFSS,124277,,MMD_NHANES
-3.8332996,4.925454,BRFSS,381876,,MMD_NHANES
4.0244713,3.554256,BRFSS,179612,,MMD_NHANES
-1.6017365,21.60349,BRFSS,276549,,MMD_NHANES
-4.0975103,4.9189634,BRFSS,385556,,MMD_NHANES
8.679751,3.1039503,BRFSS,38345,,MMD_NHANES
3.5081594,1.6616775,BRFSS,59290,,MMD_NHANES
-1.0620172,22.058409,BRFSS,21132,,MMD_NHANES
9.838541,3.9620469,BRFSS,178695,,MMD_NHANES
2.3047514,1.5324368,BRFSS,146360,,MMD_NHANES
-0.018077012,1.1345599,BRFSS,87784,,MMD_NHANES
-2.064039,2.9193013,BRFSS,289086,,MMD_NHANES
3.4556031,6.036397,BRFSS,398075,,MMD_NHANES
-15.321506,6.22,BRFSS,242846,,MMD_NHANES
-2.8888378,5.7344694,BRFSS,114916,,MMD_NHANES
-2.5949736,5.2698503,BRFSS,84144,,MMD_NHANES
7.975706,5.367895,BRFSS,298938,,MMD_NHANES
5.5220776,3.42721,BRFSS,69919,,MMD_NHANES
-1.4560659,-1.3894953,BRFSS,335432,,MMD_NHANES
11.165035,3.505382,BRFSS,167392,,MMD_NHANES
-0.27420968,-0.41438523,BRFSS,304255,,MMD_NHANES
1.1773059,0.6683876,BRFSS,295807,,MMD_NHANES
10.07745,1.837825,BRFSS,27476,,MMD_NHANES
6.730807,14.04735,NHANES,7089,Mexican American,MMD_NHANES
-3.8023,2.9593773,BRFSS,66201,,MMD_NHANES
5.8462515,3.2341533,BRFSS,80069,,MMD_NHANES
4.861344,5.7942867,BRFSS,448927,,MMD_NHANES
-2.401849,-9.021958,BRFSS,326140,,MMD_NHANES
-7.880494,-2.268031,BRFSS,130362,,MMD_NHANES
4.6238227,6.9713016,BRFSS,109569,,MMD_NHANES
6.6845403,14.093904,PIMA,251,Pima Indian,MMD_NHANES
-15.339614,6.239911,BRFSS,376402,,MMD_NHANES
8.803486,3.6092062,BRFSS,351263,,MMD_NHANES
8.559025,2.6210103,BRFSS,104225,,MMD_NHANES
-7.545558,-6.493155,BRFSS,234840,,MMD_NHANES
8.144141,-1.834445,BRFSS,435830,,MMD_NHANES
13.590784,-11.191866,BRFSS,355655,,MMD_NHANES
9.345595,-2.3670444,BRFSS,72879,,MMD_NHANES
9.327836,3.3971524,BRFSS,347321,,MMD_NHANES
-6.8444653,-0.70427173,BRFSS,175649,,MMD_NHANES
-3.7310803,-7.4336424,BRFSS,128048,,MMD_NHANES
5.1375465,-3.6130216,BRFSS,33808,,MMD_NHANES
-8.515821,-2.3642766,BRFSS,52319,,MMD_NHANES
5.739695,3.3358765,BRFSS,154652,,MMD_NHANES
-14.941529,5.4009476,BRFSS,292363,,MMD_NHANES
8.504364,1.7422367,BRFSS,380223,,MMD_NHANES
-9.711798,-1.6729573,BRFSS,323446,,MMD_NHANES
