umap_x,umap_y,domain,sample_idx,protected,method
1.651686,-1.822816,BRFSS,369796,,Raw
17.26046,4.4371657,BRFSS,216991,,Raw
3.031335,7.8228207,BRFSS,175305,,Raw
0.33008775,-3.352639,BRFSS,320683,,Raw
-0.70705783,2.0879471,BRFSS,110966,,Raw
15.022964,4.4539332,BRFSS,32019,,Raw
2.5847783,-9.122857,BRFSS,85008,,Raw
13.433954,2.9456208,BRFSS,230297,,Raw
17.156088,-2.51417,BRFSS,411817,,Raw
13.86741,7.7047815,BRFSS,285213,,Raw
1.8791114,1.3822184,BRFSS,242254,,Raw
9.122018,5.740925,BRFSS,447971,,Raw
17.030973,4.794023,BRFSS,210043,,Raw
17.987913,2.028846,BRFSS,156442,,Raw
10.488552,5.9621124,BRFSS,170192,,Raw
7.010875,29.186039,BRFSS,149280,,Raw
15.82935,-3.0905063,BRFSS,247434,,Raw
12.240328,0.6055866,BRFSS,317137,,Raw
5.9969573,29.393805,BRFSS,353720,,Raw
17.850273,0.7235779,BRFSS,89502,,Raw
1.748823,-8.929758,BRFSS,174057,,Raw
0.043736327,3.0999682,BRFSS,22432,,Raw
4.17977,7.581899,BRFSS,44751,,Raw
-11.359847,-1.604686,PIMA,616,Pima Indian,Raw
11.017066,4.637823,BRFSS,220819,,Raw
16.253252,3.854195,BRFSS,448851,,Raw
0.1558932,0.97384346,BRFSS,411978,,Raw
18.03637,1.973286,BRFSS,418234,,Raw
10.478075,9.463423,BRFSS,218555,,Raw
0.15933773,-3.817786,BRFSS,152869,,Raw
2.3882334,5.915484,BRFSS,220619,,Raw
12.4491205,7.8360724,BRFSS,406900,,Raw
9.06314,3.3303266,BRFSS,316580,,Raw
10.605319,9.523581,BRFSS,105246,,Raw
17.349907,-2.8669019,BRFSS,430589,,Raw
8.803502,3.1272542,BRFSS,317550,,Raw
11.751184,1.3905997,BRFSS,35576,,Raw
5.464986,4.62131,BRFSS,301070,,Raw
18.09261,0.65120846,BRFSS,318341,,Raw
5.3113084,7.7885146,BRFSS,133447,,Raw
6.9066253,5.0997353,BRFSS,328277,,Raw
-0.76569664,1.8195066,BRFSS,292943,,Raw
11.071982,4.7948503,BRFSS,186646,,Raw
14.521708,5.8063564,BRFSS,305510,,Raw
4.8836617,7.58355,BRFSS,390766,,Raw
4.1311717,4.5826364,BRFSS,269643,,Raw
10.0897875,8.32189,BRFSS,389165,,Raw
13.638549,1.985156,BRFSS,223529,,Raw
2.0005748,7.2271476,BRFSS,422298,,Raw
11.453912,2.2378175,BRFSS,55223,,Raw
12.598766,9.605767,BRFSS,76270,,Raw
2.332837,5.944292,BRFSS,277196,,Raw
4.6660557,1.5635262,BRFSS,89879,,Raw
16.785805,5.27302,BRFSS,441047,,Raw
0.08768201,-6.7462935,BRFSS,239439,,Raw
2.8019683,5.7246284,BRFSS,205161,,Raw
-4.6063676,14.438043,BRFSS,45580,,Raw
2.0992978,4.354939,BRFSS,268184,,Raw
13.293909,8.520065,BRFSS,97767,,Raw
12.256268,0.69324297,BRFSS,192991,,Raw
2.5030084,0.99955344,BRFSS,173563,,Raw
2.7348537,7.307138,BRFSS,77296,,Raw
8.38711,3.1980145,BRFSS,447388,,Raw
11.511987,10.0481,BRFSS,65542,,Raw
3.2115912,27.094559,BRFSS,366688,,Raw
2.525084,0.77369696,BRFSS,333426,,Raw
0.9555864,-0.41094634,BRFSS,405699,,Raw
10.818157,9.655162,BRFSS,106382,,Raw
11.98249,2.8302042,BRFSS,253104,,Raw
14.993906,3.0219111,BRFSS,86805,,Raw
0.28343526,3.159561,BRFSS,384792,,Raw
3.2958403,-1.4805481,BRFSS,235540,,Raw
10.845927,5.04683,BRFSS,316495,,Raw
4.7144303,0.8086815,BRFSS,305294,,Raw
1.2216934,4.7214413,BRFSS,422293,,Raw
3.5947454,-9.034359,BRFSS,411923,,Raw
15.692495,-3.1445541,BRFSS,26698,,Raw
16.590807,-4.245854,BRFSS,17319,,Raw
7.9656944,3.4701438,BRFSS,150964,,Raw
1.7723029,-8.940192,BRFSS,71416,,Raw
4.2037144,4.548912,BRFSS,119937,,Raw
16.696615,1.6393453,BRFSS,17028,,Raw
14.072953,1.9193225,BRFSS,222455,,Raw
13.408728,1.0869468,BRFSS,260840,,Raw
14.916915,4.9926343,BRFSS,289798,,Raw
0.029014012,0.13289738,BRFSS,346142,,Raw
16.833916,4.7772703,BRFSS,184143,,Raw
15.069442,-0.2981899,BRFSS,18706,,Raw
5.007291,1.4437833,BRFSS,426308,,Raw
0.3607788,-3.308739,BRFSS,263790,,Raw
16.723276,0.40078956,BRFSS,388901,,Raw
0.015355056,3.466366,BRFSS,102031,,Raw
6.576059,2.8077066,BRFSS,405850,,Raw
10.691291,9.319766,BRFSS,292899,,Raw
3.2963111,-0.20234405,BRFSS,51398,,Raw
4.6083236,1.3890158,BRFSS,261016,,Raw
2.3356037,5.940157,BRFSS,217419,,Raw
2.069828,6.504954,BRFSS,67426,,Raw
4.959607,3.5494878,BRFSS,268848,,Raw
4.748455,0.8208855,BRFSS,179265,,Raw
5.1637692,28.96193,BRFSS,115836,,Raw
14.358503,-1.0856742,BRFSS,69128,,Raw
14.657018,-3.7201107,BRFSS,277819,,Raw
5.160845,2.4668975,BRFSS,116399,,Raw
16.288065,-2.2357798,BRFSS,280262,,Raw
16.891132,-1.3963184,BRFSS,230213,,Raw
6.5763135,5.626325,BRFSS,149296,,Raw
14.889565,-4.090615,BRFSS,60305,,Raw
11.768243,9.7701,BRFSS,142265,,Raw
12.974057,7.00883,BRFSS,60915,,Raw
3.461557,7.9097295,BRFSS,48170,,Raw
4.9639916,1.4731283,BRFSS,435808,,Raw
-3.8975246,15.129224,BRFSS,124805,,Raw
15.248974,-0.53812313,BRFSS,397540,,Raw
0.94412863,-0.13671148,BRFSS,195428,,Raw
17.627583,-3.6455116,BRFSS,88090,,Raw
13.580371,8.04676,BRFSS,126263,,Raw
0.9218911,5.820954,BRFSS,84459,,Raw
11.905723,8.661808,BRFSS,125482,,Raw
1.608382,2.9583957,BRFSS,44195,,Raw
9.154929,3.566221,BRFSS,315142,,Raw
4.9020114,28.754078,BRFSS,191052,,Raw
4.404254,-0.56538856,BRFSS,391050,,Raw
0.96947396,-1.164327,BRFSS,63776,,Raw
9.536392,4.500803,BRFSS,301808,,Raw
16.94071,-1.0757743,BRFSS,166728,,Raw
3.7557232,4.0329733,BRFSS,311017,,Raw
12.677502,9.854663,BRFSS,228794,,Raw
12.694919,1.3165938,BRFSS,87632,,Raw
0.12890984,2.895986,BRFSS,95808,,Raw
3.4216642,7.921446,BRFSS,229009,,Raw
3.1987212,-1.5459199,BRFSS,12322,,Raw
3.1029608,0.010036552,BRFSS,131828,,Raw
15.278406,-3.763636,BRFSS,423835,,Raw
7.9778786,3.5399604,BRFSS,186012,,Raw
17.344572,1.2360517,BRFSS,183883,,Raw
9.505249,4.118432,BRFSS,106536,,Raw
2.896669,1.6638287,BRFSS,170784,,Raw
6.2696843,7.0196123,BRFSS,78103,,Raw
12.290252,0.4617593,BRFSS,218631,,Raw
15.974342,-0.14325303,BRFSS,229236,,Raw
7.1859365,5.890119,BRFSS,104612,,Raw
8.052892,3.444117,BRFSS,116042,,Raw
15.288481,0.048696928,BRFSS,48539,,Raw
4.776384,5.1481295,BRFSS,434440,,Raw
4.858307,3.0493288,BRFSS,334293,,Raw
16.224487,-1.3396833,NHANES,8603,Non-Hispanic White,Raw
11.752225,7.4934216,BRFSS,304937,,Raw
-0.04066588,2.268149,BRFSS,50820,,Raw
11.388877,9.858825,BRFSS,313953,,Raw
10.343839,8.22446,BRFSS,228360,,Raw
0.3011023,1.3091205,BRFSS,172039,,Raw
13.110051,9.289797,BRFSS,224611,,Raw
15.98156,5.714955,BRFSS,13185,,Raw
